Div. Earned,Ticker,Acct. Type,payout,Total Dividends
0,ETRN,TFSA,1.65,1.65
0,EURN,TFSA,0,0
12.5,BKCC,TFSA,0,12.5
0,F,TFSA,0,0
0,GLD,RRSP,0,0
5.1,FAX,TFSA,1.02,6.12
0,HAS,TFSA,1.4,1.4
0,MITT,TFSA,1.52,1.52
1.92,HIO,TFSA,0,1.92
5.6,FCO,TFSA,1.12,6.72
7.96,JHI,TFSA,0,7.96
0,CVI,TFSA,6,6
12.26,JCE,TFSA,0,12.26
2.58,CIF,TFSA,0.82,3.4
18.74,STWD,TFSA,0,18.74
2.75,OCSL,TFSA,0,2.75
4.7,EHI,TFSA,0,4.7
15.75,IAE,TFSA,0,15.75
25.33,SBLK,TFSA,0,25.33
19.39,OXSQ,TFSA,0.95,20.34
11.2,NMAI,TFSA,0,11.2
4.06,DMLP,TFSA,2.54,6.6
7.8,GNK,TFSA,0.9,8.7
14.75,FBRT,TFSA,0,14.75
0.86,MFV,TFSA,0,0.86
25.89,CLM,TFSA,1.23,27.12
2.04,PSEC,TFSA,1.02,3.06
15.54,EMD,RRSP,0,15.54
10.2,GAB,TFSA,0,10.2
13.94,AVK,TFSA,0.82,14.76
10.01,DX,TFSA,0,10.01
9.81,GOF,TFSA,1.09,10.9
1.76,GGB,TFSA,0,1.76
10.22,GIM,TFSA,0.59,10.81
9.16,LGI,TFSA,0.56,9.72
19.55,TWO,TFSA,0,19.55
7.6,CHI,TFSA,0.76,8.36
14.56,ACRE,TFSA,0,14.56
84.7,RBCN,TFSA,0,84.7
18.81,HIMX,TFSA,0,18.81
13.44,PTMN,TFSA,2.76,16.2
9.45,GOGL,TFSA,0,9.45
13.68,ZTR,TFSA,0.6,14.28
24.38,CLM,RRSP,0.86,25.24
25.07,UAN,TFSA,1.55,26.62
8.64,DALN,TFSA,0,8.64
12.18,NEWT,TFSA,0,12.18
19.31,AGNC,TFSA,0.6,19.91
15.31,DSX,TFSA,0,15.31
14.43,T,TFSA,0,14.43
21.6,NLY,TFSA,0,21.6
13,GPMT,TFSA,0,13
20.94,ARR,RRSP,1.12,22.06
31.5,ARR,TFSA,0.64,32.14
3.36,MSB,TFSA,1.4,4.76
27.96,IVR,TFSA,0,27.96
13.75,SJT,TFSA,0.34,14.09
1.95,HCSG,TFSA,0,1.95
5.96,CUBA,TFSA,0,5.96
0,MBT,TFSA,0,0
19.34,CIM,TFSA,0,19.34
0,GEO,TFSA,0,0
12,OPI,TFSA,1.25,13.25
10,IEP,TFSA,0,10
2.72,VIA,TFSA,0,2.72
11.13,MPW,RRSP,0,11.13
11.1,PTR,TFSA,5.22,16.32
13.52,BPT,TFSA,0,13.52
