symbol,type,date,month,year,payout
GNK,TFSA,30-Nov-23,Nov,2023,$0.90
CIF,TFSA,30-Nov-23,Nov,2023,$0.82
CLM,TFSA,30-Nov-23,Nov,2023,$1.23
GOF,TFSA,30-Nov-23,Nov,2023,$1.09
AVK,TFSA,30-Nov-23,Nov,2023,$0.82
GIM,TFSA,30-Nov-23,Nov,2023,$0.59
FAX,TFSA,30-Nov-23,Nov,2023,$1.02
TEI,TFSA,30-Nov-23,Nov,2023,$0.79
OXSQ,TFSA,30-Nov-23,Nov,2023,$0.95
FCO,TFSA,30-Nov-23,Nov,2023,$1.12
PTMN,TFSA,30-Nov-23,Nov,2023,$2.76
CLM,RRSP,30-Nov-23,Nov,2023,$0.86
ARR,TFSA,29-Nov-23,Nov,2023,$0.64
ARR,RRSP,29-Nov-23,Nov,2023,$1.12
ZTR,TFSA,24-Nov-23,Nov,2023,$0.60
CVI,TFSA,22-Nov-23,Nov,2023,$4.50
HAFC,TFSA,22-Nov-23,Nov,2023,$1.50
LGI,TFSA,22-Nov-23,Nov,2023,$0.56
PSEC,TFSA,21-Nov-23,Nov,2023,$1.02
CHI,TFSA,20-Nov-23,Nov,2023,$0.76
CVI,TFSA,20-Nov-23,Nov,2023,$1.50
MSB,TFSA,20-Nov-23,Nov,2023,$1.40
UAN,TFSA,20-Nov-23,Nov,2023,$1.55
OPI,TFSA,16-Nov-23,Nov,2023,$1.25
CALM,TFSA,16-Nov-23,Nov,2023,$0.01
HAS,TFSA,15-Nov-23,Nov,2023,$1.40
ALLY,TFSA,15-Nov-23,Nov,2023,$1.20
SLG,TFSA,15-Nov-23,Nov,2023,$0.81
CFG,TFSA,15-Nov-23,Nov,2023,$1.68
SJT,TFSA,14-Nov-23,Nov,2023,$0.34
ETRN,TFSA,14-Nov-23,Nov,2023,$1.65
BMRC,TFSA,13-Nov-23,Nov,2023,$1.25
MITT,TFSA,10-Nov-23,Nov,2023,$1.52
AGNC,TFSA,09-Nov-23,Nov,2023,$0.60
PTR,TFSA,09-Nov-23,Nov,2023,$5.22
DMLP,TFSA,09-Nov-23,Nov,2023,$2.54
